# app	/Users/jacob/githubApps/Scale/src-tauri/target/release/bundle/macos/Sovatela.app
# version	1.6.0
phase	time	source	remote
update-check	09:07:55	rust	185.199.108.153:443
update-check	09:07:56	rust	51.159.86.116:443
update-check	09:07:56	rust	185.199.108.153:443
update-check	09:07:56	rust	51.159.86.116:443
update-check	09:07:56	rust	185.199.108.153:443
update-check	09:07:57	rust	51.159.86.116:443
update-check	09:07:57	rust	185.199.108.153:443
update-check	09:07:57	rust	51.159.86.116:443
update-check	09:07:57	rust	185.199.108.153:443
update-check	09:07:58	rust	51.159.86.116:443
update-check	09:07:58	rust	185.199.108.153:443
update-check	09:07:58	rust	51.159.86.116:443
update-check	09:07:58	rust	185.199.108.153:443
update-check	09:07:58	rust	51.159.86.116:443
update-check	09:07:58	rust	185.199.108.153:443
update-check	09:07:59	rust	51.159.86.116:443
update-check	09:07:59	rust	185.199.108.153:443
update-check	09:07:59	rust	51.159.86.116:443
update-check	09:07:59	rust	185.199.108.153:443
update-check	09:08:00	rust	51.159.86.116:443
update-check	09:08:00	rust	185.199.108.153:443
update-check	09:08:00	rust	51.159.86.116:443
update-check	09:08:00	rust	185.199.108.153:443
update-check	09:08:01	rust	51.159.86.116:443
update-check	09:08:01	rust	185.199.108.153:443
update-check	09:08:01	rust	51.159.86.116:443
update-check	09:08:01	rust	185.199.108.153:443
update-check	09:08:02	rust	51.159.86.116:443
update-check	09:08:02	rust	185.199.108.153:443
update-check	09:08:02	rust	51.159.86.116:443
update-check	09:08:02	rust	185.199.108.153:443
update-check	09:08:02	rust	51.159.86.116:443
update-check	09:08:02	rust	185.199.108.153:443
update-check	09:08:03	rust	51.159.86.116:443
update-check	09:08:03	rust	185.199.108.153:443
update-check	09:08:03	rust	51.159.86.116:443
update-check	09:08:03	rust	185.199.108.153:443
update-check	09:08:04	rust	51.159.86.116:443
update-check	09:08:04	rust	185.199.108.153:443
update-check	09:08:04	rust	51.159.86.116:443
update-check	09:08:04	rust	185.199.108.153:443
update-check	09:08:05	rust	51.159.86.116:443
update-check	09:08:05	rust	185.199.108.153:443
update-check	09:08:05	rust	51.159.86.116:443
update-check	09:08:05	rust	185.199.108.153:443
update-check	09:08:05	rust	51.159.86.116:443
update-check	09:08:05	rust	185.199.108.153:443
update-check	09:08:06	rust	51.159.86.116:443
update-check	09:08:06	rust	185.199.108.153:443
update-check	09:08:06	rust	51.159.86.116:443
update-check	09:08:06	rust	185.199.108.153:443
update-check	09:08:07	rust	51.159.86.116:443
update-check	09:08:07	rust	185.199.108.153:443
update-check	09:08:07	rust	51.159.86.116:443
update-check	09:08:07	rust	185.199.108.153:443
update-check	09:08:08	rust	51.159.86.116:443
update-check	09:08:08	rust	185.199.108.153:443
update-check	09:08:08	rust	51.159.86.116:443
update-check	09:08:08	rust	185.199.108.153:443
update-check	09:08:09	rust	51.159.86.116:443
update-check	09:08:09	rust	185.199.108.153:443
update-check	09:08:09	rust	51.159.86.116:443
update-check	09:08:09	rust	185.199.108.153:443
update-check	09:08:09	rust	51.159.86.116:443
update-check	09:08:09	rust	185.199.108.153:443
update-check	09:08:10	rust	51.159.86.116:443
