phase	time	source	remote
pricing	23:25:02	rust	51.159.86.116:443
pricing	23:25:02	rust	185.199.108.153:443
pricing	23:25:02	rust	185.199.111.133:443
pricing	23:25:03	rust	51.159.86.116:443
pricing	23:25:03	rust	185.199.108.153:443
pricing	23:25:03	rust	185.199.111.133:443
pricing	23:25:03	rust	51.159.86.116:443
pricing	23:25:03	rust	185.199.108.153:443
pricing	23:25:03	rust	185.199.111.133:443
pricing	23:25:04	rust	51.159.86.116:443
pricing	23:25:04	rust	185.199.108.153:443
pricing	23:25:04	rust	185.199.111.133:443
pricing	23:25:04	rust	51.159.86.116:443
pricing	23:25:04	rust	185.199.108.153:443
pricing	23:25:04	rust	185.199.111.133:443
pricing	23:25:05	rust	51.159.86.116:443
pricing	23:25:05	rust	185.199.108.153:443
pricing	23:25:05	rust	185.199.111.133:443
pricing	23:25:05	rust	51.159.86.116:443
pricing	23:25:05	rust	185.199.108.153:443
pricing	23:25:05	rust	185.199.111.133:443
pricing	23:25:05	rust	51.159.86.116:443
pricing	23:25:05	rust	185.199.108.153:443
pricing	23:25:05	rust	185.199.111.133:443
pricing	23:25:06	rust	51.159.86.116:443
pricing	23:25:06	rust	185.199.108.153:443
pricing	23:25:06	rust	185.199.111.133:443
pricing	23:25:06	rust	51.159.86.116:443
pricing	23:25:06	rust	185.199.108.153:443
pricing	23:25:06	rust	185.199.111.133:443
pricing	23:25:07	rust	51.159.86.116:443
pricing	23:25:07	rust	185.199.108.153:443
pricing	23:25:07	rust	185.199.111.133:443
pricing	23:25:07	rust	51.159.86.116:443
pricing	23:25:07	rust	185.199.108.153:443
pricing	23:25:07	rust	185.199.111.133:443
pricing	23:25:08	rust	51.159.86.116:443
pricing	23:25:08	rust	185.199.108.153:443
pricing	23:25:08	rust	185.199.111.133:443
pricing	23:25:08	rust	51.159.86.116:443
pricing	23:25:08	rust	185.199.108.153:443
pricing	23:25:08	rust	185.199.111.133:443
pricing	23:25:08	rust	51.159.86.116:443
pricing	23:25:08	rust	185.199.108.153:443
pricing	23:25:08	rust	185.199.111.133:443
pricing	23:25:09	rust	51.159.86.116:443
pricing	23:25:09	rust	185.199.108.153:443
pricing	23:25:09	rust	185.199.111.133:443
pricing	23:25:09	rust	51.159.86.116:443
pricing	23:25:09	rust	185.199.108.153:443
pricing	23:25:09	rust	185.199.111.133:443
pricing	23:25:10	rust	51.159.86.116:443
pricing	23:25:10	rust	185.199.108.153:443
pricing	23:25:10	rust	185.199.111.133:443
pricing	23:25:10	rust	51.159.86.116:443
pricing	23:25:10	rust	185.199.108.153:443
pricing	23:25:10	rust	185.199.111.133:443
pricing	23:25:11	rust	51.159.86.116:443
pricing	23:25:11	rust	185.199.108.153:443
pricing	23:25:11	rust	185.199.111.133:443
pricing	23:25:11	rust	51.159.86.116:443
pricing	23:25:11	rust	185.199.108.153:443
pricing	23:25:11	rust	185.199.111.133:443
pricing	23:25:12	rust	51.159.86.116:443
pricing	23:25:12	rust	185.199.108.153:443
pricing	23:25:12	rust	185.199.111.133:443
pricing	23:25:12	rust	51.159.86.116:443
pricing	23:25:12	rust	185.199.108.153:443
pricing	23:25:12	rust	185.199.111.133:443
pricing	23:25:12	rust	51.159.86.116:443
pricing	23:25:12	rust	185.199.108.153:443
pricing	23:25:12	rust	185.199.111.133:443
pricing	23:25:13	rust	51.159.86.116:443
pricing	23:25:13	rust	185.199.108.153:443
pricing	23:25:13	rust	185.199.111.133:443
pricing	23:25:13	rust	51.159.86.116:443
pricing	23:25:13	rust	185.199.108.153:443
pricing	23:25:13	rust	185.199.111.133:443
pricing	23:25:14	rust	51.159.86.116:443
pricing	23:25:14	rust	185.199.108.153:443
pricing	23:25:14	rust	185.199.111.133:443
pricing	23:25:14	rust	51.159.86.116:443
pricing	23:25:14	rust	185.199.108.153:443
pricing	23:25:14	rust	185.199.111.133:443
pricing	23:25:15	rust	51.159.86.116:443
pricing	23:25:15	rust	185.199.108.153:443
pricing	23:25:15	rust	185.199.111.133:443
pricing	23:25:15	rust	51.159.86.116:443
pricing	23:25:15	rust	185.199.108.153:443
pricing	23:25:15	rust	185.199.111.133:443
pricing	23:25:15	rust	51.159.86.116:443
pricing	23:25:15	rust	185.199.108.153:443
pricing	23:25:15	rust	185.199.111.133:443
pricing	23:25:16	rust	51.159.86.116:443
pricing	23:25:16	rust	185.199.108.153:443
pricing	23:25:16	rust	185.199.111.133:443
pricing	23:25:16	rust	51.159.86.116:443
pricing	23:25:16	rust	185.199.108.153:443
pricing	23:25:16	rust	185.199.111.133:443
pricing	23:25:17	rust	51.159.86.116:443
pricing	23:25:17	rust	185.199.108.153:443
pricing	23:25:17	rust	185.199.111.133:443
pricing	23:25:17	rust	51.159.86.116:443
pricing	23:25:17	rust	185.199.108.153:443
pricing	23:25:17	rust	185.199.111.133:443
pricing	23:25:18	rust	51.159.86.116:443
pricing	23:25:18	rust	185.199.108.153:443
pricing	23:25:18	rust	185.199.111.133:443
pricing	23:25:18	rust	51.159.86.116:443
pricing	23:25:18	rust	185.199.108.153:443
pricing	23:25:18	rust	185.199.111.133:443
pricing	23:25:18	rust	185.199.111.133:443
pricing	23:25:19	rust	185.199.111.133:443
pricing	23:25:19	rust	185.199.111.133:443
pricing	23:25:20	rust	185.199.111.133:443
pricing	23:25:20	rust	185.199.111.133:443
pricing	23:25:21	rust	185.199.111.133:443
pricing	23:25:21	rust	185.199.111.133:443
pricing	23:25:22	rust	185.199.111.133:443
pricing	23:25:22	rust	185.199.111.133:443
pricing	23:25:22	rust	185.199.111.133:443
pricing	23:25:23	rust	185.199.111.133:443
pricing	23:25:23	rust	185.199.111.133:443
pricing	23:25:24	rust	185.199.111.133:443
pricing	23:25:24	rust	185.199.111.133:443
pricing	23:25:25	rust	185.199.111.133:443
pricing	23:25:25	rust	185.199.111.133:443
pricing	23:25:25	rust	185.199.111.133:443
pricing	23:25:26	rust	185.199.111.133:443
pricing	23:25:26	rust	185.199.111.133:443
pricing	23:25:27	rust	185.199.111.133:443
pricing	23:25:27	rust	185.199.111.133:443
pricing	23:25:28	rust	185.199.111.133:443
pricing	23:25:28	rust	185.199.111.133:443
pricing	23:25:29	rust	185.199.111.133:443
pricing	23:25:29	rust	185.199.111.133:443
pricing	23:25:29	rust	185.199.111.133:443
pricing	23:25:30	rust	185.199.111.133:443
pricing	23:25:30	rust	185.199.111.133:443
pricing	23:25:31	rust	185.199.111.133:443
pricing	23:25:31	rust	185.199.111.133:443
pricing	23:25:32	rust	185.199.111.133:443
pricing	23:25:32	rust	185.199.111.133:443
pricing	23:25:32	rust	185.199.111.133:443
pricing	23:25:33	rust	185.199.111.133:443
pricing	23:25:33	rust	185.199.111.133:443
pricing	23:25:34	rust	185.199.111.133:443
pricing	23:25:34	rust	185.199.111.133:443
pricing	23:25:35	rust	185.199.111.133:443
pricing	23:25:35	rust	185.199.111.133:443
pricing	23:25:36	rust	185.199.111.133:443
pricing	23:25:36	rust	185.199.111.133:443
pricing	23:25:36	rust	185.199.111.133:443
pricing	23:25:37	rust	185.199.111.133:443
pricing	23:25:37	rust	185.199.111.133:443
pricing	23:25:38	rust	185.199.111.133:443
pricing	23:25:38	rust	185.199.111.133:443
web-search	23:26:34	rust	51.159.86.116:443
web-search	23:26:34	rust	20.74.11.252:443
web-search	23:26:34	rust	185.199.111.133:443
web-search	23:26:34	rust	51.159.86.116:443
web-search	23:26:34	rust	20.74.11.252:443
web-search	23:26:34	rust	185.199.111.133:443
web-search	23:26:35	rust	51.159.86.116:443
